username,max_buzzer_prob,mean_buzzer_prob,n_tweets,n_buzzer_tweets,content_dup_score_max,lexical_similarity_score_mean,temporal_burst_score_max,posting_freq_per_hour_max,sna_out_deg_max,sna_in_deg_max,sna_betweenness_max,buzzer_label
b0nnysidharta,0.0011358524,0.0011358524,1,0,0.7002,0.0079,1.0,1,0.0,0.0,0.0,Non-Buzzer
MJRTiger123,0.0011353007,0.0011353007,1,0,0.2955,0.0072,1.0,1,1.0,0.0,0.0,Non-Buzzer
hadehhalah,0.0011334346,0.0011334346,1,0,0.3712,0.005,1.0,1,1.0,0.0,0.0,Non-Buzzer
kaiz_shikikan,0.0011330314,0.0011330314,1,0,0.7982,0.0029,1.0,1,0.0,0.0,0.0,Non-Buzzer
KacangWalnut,0.0011330314,0.0011330314,1,0,0.7799,0.0048,1.0,1,0.0,0.0,0.0,Non-Buzzer
Ilhammlnn_,0.0011330314,0.0011330314,1,0,0.776,0.0011,1.0,1,0.0,0.0,0.0,Non-Buzzer
markucal,0.0011330314,0.0011330314,1,0,0.776,0.003,1.0,1,0.0,0.0,0.0,Non-Buzzer
deburiaria,0.0011310703,0.0011310703,1,0,0.3774,0.0093,1.0,1,0.0,0.0,0.0,Non-Buzzer
CorySakti28011,0.0011277448,0.0011277448,1,0,0.5678,0.0084,1.0,1,0.0,1.0,0.0,Non-Buzzer
Cyanpile007,0.0011277448,0.0011277448,1,0,0.5653,0.0086,1.0,1,0.0,0.0,0.0,Non-Buzzer
yudisdn,0.0011277448,0.0011277448,1,0,0.5763,0.0095,1.0,1,0.0,0.0,0.0,Non-Buzzer
syizuril,0.0011184285,0.0011184285,1,0,0.2538,0.0059,1.0,1,1.0,0.0,0.0,Non-Buzzer
trancenote,0.001099652,0.001099652,1,0,0.7799,0.0093,1.0,1,0.0,0.0,0.0,Non-Buzzer
lancashire1878_,0.0010948871,0.0010948871,1,0,0.3881,0.0026,1.0,1,1.0,1.0,0.0,Non-Buzzer
klawd___,0.0010947546,0.0010947546,1,0,0.3882,0.0031,1.0,1,0.0,0.0,0.0,Non-Buzzer
_________judd,0.0010844882,0.0010844882,1,0,0.34,0.0065,1.0,1,1.0,0.0,0.0,Non-Buzzer
brendybossun,0.0010803522,0.0010803522,1,0,0.3148,0.0132,1.0,1,1.0,0.0,0.0,Non-Buzzer
j1mboo23,0.0010764387,0.0010764387,1,0,0.5855,0.0063,1.0,1,1.0,0.0,0.0,Non-Buzzer
gungdala,0.0010750521,0.0010750521,1,0,0.3823,0.0068,1.0,1,0.0,0.0,0.0,Non-Buzzer
VelZeppelit,0.0010650185,0.0010650185,1,0,0.3099,0.003,1.0,1,0.0,0.0,0.0,Non-Buzzer
mesheviksus2,0.0010611694,0.0010611694,1,0,0.3395,0.0088,1.0,1,0.0,0.0,0.0,Non-Buzzer
abyts_,0.0010557993,0.0010557993,1,0,0.4133,0.0089,1.0,1,0.0,0.0,0.0,Non-Buzzer
haritstoteles_,0.0010448472,0.0010448472,1,0,0.4049,0.0075,1.0,1,0.0,0.0,0.0,Non-Buzzer
AkunNomerRandom,0.0010440587,0.0010440587,1,0,0.4107,0.0048,1.0,1,1.0,0.0,0.0,Non-Buzzer
jayadiakbar_,0.0010381404,0.0010381404,1,0,0.3559,0.0052,1.0,1,0.0,0.0,0.0,Non-Buzzer
blurkaebi,0.0010327214,0.0010327214,1,0,1.0,0.0061,1.0,1,1.0,0.0,0.0,Non-Buzzer
dubaicuwicookie,0.0010317763,0.0010317763,1,0,0.3782,0.0015,1.0,1,1.0,0.0,0.0,Non-Buzzer
wekimiler,0.0010196165,0.0010196165,1,0,0.0,0.0,1.0,1,0.0,0.0,0.0,Non-Buzzer
minazuki_ame,0.0010196165,0.0010196165,1,0,0.2231,0.0015,1.0,1,0.0,0.0,0.0,Non-Buzzer
tioammar,0.0010140631,0.0010140631,1,0,0.4049,0.008,1.0,1,0.0,0.0,0.0,Non-Buzzer
nhs_noctis,0.0010140631,0.0010140631,1,0,0.4048,0.0086,1.0,1,0.0,0.0,0.0,Non-Buzzer
eldidito,0.0009973367,0.0009973367,1,0,0.359,0.0106,1.0,1,0.0,0.0,0.0,Non-Buzzer
yossaa_,0.0009921489,0.0009921489,1,0,0.3882,0.0009,1.0,1,0.0,0.0,0.0,Non-Buzzer
IntanAyuArimbi,0.0009921484,0.0009921484,1,0,0.4169,0.0038,1.0,1,0.0,0.0,0.0,Non-Buzzer
Iezhar7th,0.0009872641,0.0009872641,1,0,0.3703,0.0098,1.0,1,0.0,0.0,0.0,Non-Buzzer
imamanbru,0.0009866783,0.0009866783,1,0,0.3896,0.0053,1.0,1,0.0,0.0,0.0,Non-Buzzer
kevinabscratch,0.0009774924,0.0009774924,1,0,0.0,0.0,1.0,1,1.0,0.0,0.0,Non-Buzzer
ambaruw0,0.0009773741,0.0009773741,1,0,0.252,0.0031,1.0,1,0.0,0.0,0.0,Non-Buzzer
iSatrio,0.0009773741,0.0009773741,1,0,0.2261,0.0054,1.0,1,0.0,0.0,0.0,Non-Buzzer
foppy_7,0.00097166916,0.00097166916,1,0,0.381,0.001,1.0,1,1.0,0.0,0.0,Non-Buzzer
imthaitea,0.00097166916,0.00097166916,1,0,0.3879,0.0005,1.0,1,1.0,0.0,0.0,Non-Buzzer
mudha_asmara,0.00096576236,0.00096576236,1,0,0.3215,0.0074,1.0,1,0.0,0.0,0.0,Non-Buzzer
ALZgamin,0.00095596636,0.00095596636,1,0,0.359,0.0069,1.0,1,0.0,0.0,0.0,Non-Buzzer
addiwick,0.00094904436,0.00094904436,1,0,0.3719,0.0024,1.0,1,0.0,0.0,0.0,Non-Buzzer
x48sxK,0.0009464185,0.0009464185,1,0,0.3166,0.0052,1.0,1,0.0,0.0,0.0,Non-Buzzer
CekrekPaklek,0.00094094966,0.00094094966,1,0,0.4094,0.0057,1.0,1,1.0,0.0,0.0,Non-Buzzer
JauzaaATahar,0.0009379431,0.0009379431,1,0,0.2792,0.0044,1.0,1,0.0,0.0,0.0,Non-Buzzer
KvnBhgs,0.0009373061,0.0009373061,1,0,0.3239,0.0092,1.0,1,0.0,0.0,0.0,Non-Buzzer
farkiw_,0.0009294535,0.0009294535,1,0,0.3754,0.0047,1.0,1,1.0,0.0,0.0,Non-Buzzer
g00dfella__,0.00092779857,0.00092779857,1,0,0.361,0.0086,1.0,1,0.0,0.0,0.0,Non-Buzzer
pretzelsyy,0.0009249283,0.0009249283,1,0,0.3108,0.0073,1.0,1,0.0,0.0,0.0,Non-Buzzer
mog_mediaa,0.0009245168,0.0009245168,1,0,0.2555,0.008,1.0,1,0.0,20.0,0.0,Non-Buzzer
bebasdotid,0.0009207658,0.0009207658,1,0,0.2562,0.0104,1.0,1,0.0,0.0,0.0,Non-Buzzer
Lidik58,0.0009146669,0.00089230225,2,0,0.4026,0.0087,1.0,2,1.0,0.0,0.0,Non-Buzzer
kaitou_kicks,0.0009122729,0.0009122729,1,0,0.2364,0.0088,1.0,1,1.0,0.0,0.0,Non-Buzzer
VDzuri,0.0009072061,0.0009072061,1,0,0.3293,0.0061,1.0,1,0.0,0.0,0.0,Non-Buzzer
woodyinhow,0.0009072061,0.0009072061,1,0,0.3314,0.0066,1.0,1,0.0,0.0,0.0,Non-Buzzer
BusterBorrr,0.0008866881,0.0008866881,1,0,0.4033,0.0056,1.0,1,0.0,0.0,0.0,Non-Buzzer
