term,score
mudah,1.3053455197469281
control,1.3043125806170301
standard,1.3018101603983316
detailnya,1.2981850619382078
berlaku,1.297172972736366
keputusan,1.2946194046944468
baca penjelasan,1.2921983102888142
okay,1.2892413863894046
pake esrb,1.2888520608770164
butuh penyesuaian,1.2885902256367805
windah,1.287159911883699
yak,1.2840391433122704
dilarang,1.278200921726048
bokep dapet,1.2766976283044902
membingungkan orang,1.2754584582884578
berguna,1.2751650760336326
tidak berguna,1.2751650760336326
moga,1.2739877867473517
gatau,1.273504342576293
which,1.26957761774027
bullshit,1.267343410838397
berubah,1.2670426417186924
dampak,1.2644204987092273
kemana,1.2638389171508921
tidak ngaruh,1.2626042224765133
fase penyesuaian,1.2615142704781075
resmi kemkomdigi,1.2598210415916122
genre,1.2597233855867138
korupsi,1.2588711733127695
masih butuh,1.256041479030042
ngikutin rame,1.2500197678820923
chat,1.24889901287545
input,1.243457368595184
lumayan,1.2431376213243472
situ,1.2422131505224305
rockstar,1.23981077460573
gapapa,1.238335622200231
ngamuk,1.231706583436889
mikir,1.231212448436311
source,1.2302312892930005
ko,1.229159996165801
nanya,1.2289672524429711
bet,1.2282069387221304
bebas,1.2278880865253345
serius,1.2271829116641622
adult,1.2257556981358624
implementasikan,1.2249273189833205
tau belum,1.2246066530903055
bos,1.2217160487011616
tidak becus,1.22148419254666
sesuai umur,1.220417106505379
problem,1.2199472124344133
ginian,1.2198261795158523
usia pemain,1.2182694654919404
guess,1.2151094092807824
