Id,Label,username,max_buzzer_prob,mean_buzzer_prob,n_tweets,n_buzzer_tweets,content_dup_score_max,temporal_burst_score_max,sna_out_deg_max,sna_in_deg_max,posting_freq_per_hour_max,binary_label_gephi
tigor_na70,tigor_na70,tigor_na70,0.0330963172018528,0.0330963172018528,1,0,0.4263,1.0,0.0,0.0,1.0,Non-Buzzer
tilehopper,tilehopper,tilehopper,0.0303985755890607,0.013367848470807,5,0,0.7025,0.6,2.0,3.0,3.0,Non-Buzzer
tioammar,tioammar,tioammar,0.0010140631347894,0.0010140631347894,1,0,0.4049,1.0,0.0,0.0,1.0,Non-Buzzer
tizaki09,tizaki09,tizaki09,0.0026663749013096,0.0026663749013096,1,0,0.4081,1.0,0.0,0.0,1.0,Non-Buzzer
tokyomotret,tokyomotret,tokyomotret,0.0012927405769005,0.0012927405769005,1,0,0.0,1.0,0.0,0.0,1.0,Non-Buzzer
tondatona,tondatona,tondatona,0.001813652110286,0.001813652110286,1,0,0.3713,1.0,1.0,0.0,1.0,Non-Buzzer
toshimema,toshimema,toshimema,0.002863545436412,0.002863545436412,1,0,0.6958,1.0,0.0,0.0,1.0,Non-Buzzer
trancenote,trancenote,trancenote,0.0010996520286425,0.0010996520286425,1,0,0.7799,1.0,0.0,0.0,1.0,Non-Buzzer
trelrANartsA,trelrANartsA,trelrANartsA,0.0058477148413658,0.0058477148413658,1,0,0.3363,1.0,1.0,0.0,1.0,Non-Buzzer
trickymindful,trickymindful,trickymindful,0.0011749644763767,0.0011749644763767,1,0,0.3936,1.0,0.0,0.0,1.0,Non-Buzzer
triedhi888,triedhi888,triedhi888,0.917649745941162,0.917649745941162,1,1,0.4519,1.0,0.0,0.0,1.0,Buzzer
tsanyqudsi,tsanyqudsi,tsanyqudsi,0.1564772576093673,0.1564772576093673,1,0,0.4057,1.0,1.0,0.0,1.0,Non-Buzzer
tsngnugadhm,tsngnugadhm,tsngnugadhm,0.0122217573225498,0.0122217573225498,1,0,1.0,1.0,1.0,0.0,1.0,Non-Buzzer
uchihagaming321,uchihagaming321,uchihagaming321,0.7187232971191406,0.7187232971191406,1,0,0.4132,1.0,0.0,0.0,1.0,Non-Buzzer
unicornxback,unicornxback,unicornxback,0.006654217839241,0.006654217839241,1,0,0.3881,1.0,0.0,0.0,1.0,Non-Buzzer
uray_z,uray_z,uray_z,0.0033973064273595,0.0033973064273595,1,0,0.3408,1.0,0.0,0.0,1.0,Non-Buzzer
verstalie,verstalie,verstalie,0.001381630427204,0.001381630427204,1,0,0.4553,1.0,0.0,0.0,1.0,Non-Buzzer
vevelynnnn,vevelynnnn,vevelynnnn,0.0080797122791409,0.0080797122791409,1,0,0.4475,1.0,0.0,0.0,1.0,Non-Buzzer
vicyrchm,vicyrchm,vicyrchm,0.0022581750527024,0.0022581750527024,1,0,0.333,1.0,1.0,0.0,1.0,Non-Buzzer
wWinecell,wWinecell,wWinecell,0.0016327245393767,0.0016327245393767,1,0,0.4656,1.0,1.0,0.0,1.0,Non-Buzzer
wandgerer,wandgerer,wandgerer,0.0017756603192538,0.0017756603192538,1,0,0.353,1.0,0.0,0.0,1.0,Non-Buzzer
wekimiler,wekimiler,wekimiler,0.0010196164948865,0.0010196164948865,1,0,0.0,1.0,0.0,0.0,1.0,Non-Buzzer
weslibravo,weslibravo,weslibravo,0.0008697219891473,0.0008697219891473,1,0,0.3184,1.0,1.0,0.0,1.0,Non-Buzzer
wh0isHanna,wh0isHanna,wh0isHanna,0.0013472486753016,0.0013472486753016,1,0,0.7111,1.0,0.0,0.0,1.0,Non-Buzzer
whereisnono,whereisnono,whereisnono,0.0025010649114847,0.0025010649114847,1,0,0.3661,1.0,0.0,0.0,1.0,Non-Buzzer
wibi_januar,wibi_januar,wibi_januar,0.021479994058609,0.021479994058609,1,0,0.5246,1.0,1.0,0.0,1.0,Non-Buzzer
wijayawilliam31,wijayawilliam31,wijayawilliam31,0.8599098324775696,0.4373232126235962,2,1,0.7933,0.5,2.0,1.0,1.0,Buzzer
wildanfird15,wildanfird15,wildanfird15,0.0293046347796916,0.0173252262175083,2,0,0.3753,1.0,2.0,0.0,2.0,Non-Buzzer
wongkongenekok,wongkongenekok,wongkongenekok,0.0106353880837559,0.0061632092110812,2,0,0.666,1.0,2.0,0.0,2.0,Non-Buzzer
wonvoyager,wonvoyager,wonvoyager,0.0203790217638015,0.0203790217638015,1,0,0.6022,1.0,0.0,0.0,1.0,Non-Buzzer
woodyinhow,woodyinhow,woodyinhow,0.0009072060929611,0.0009072060929611,1,0,0.3314,1.0,0.0,0.0,1.0,Non-Buzzer
wordfangs,wordfangs,wordfangs,0.0017862243112176,0.0017862243112176,1,0,0.3846,1.0,0.0,5.0,1.0,Non-Buzzer
x48sxK,x48sxK,x48sxK,0.0009464184986427,0.0009464184986427,1,0,0.3166,1.0,0.0,0.0,1.0,Non-Buzzer
xathrya,xathrya,xathrya,0.0019807759672403,0.0016420489409938,2,0,0.3146,1.0,0.0,0.0,2.0,Non-Buzzer
xenoshroomer,xenoshroomer,xenoshroomer,0.0022454517893493,0.0022454517893493,1,0,0.2863,1.0,0.0,0.0,1.0,Non-Buzzer
xnopzx,xnopzx,xnopzx,0.0012484340695664,0.0012484340695664,1,0,0.3673,1.0,1.0,0.0,1.0,Non-Buzzer
xx6riku,xx6riku,xx6riku,0.0132277123630046,0.0132277123630046,1,0,0.5653,1.0,0.0,0.0,1.0,Non-Buzzer
xxmryyx,xxmryyx,xxmryyx,0.0215866453945636,0.0215866453945636,1,0,1.0,1.0,0.0,0.0,1.0,Non-Buzzer
ya2nk_dheophe,ya2nk_dheophe,ya2nk_dheophe,0.001397582469508,0.001397582469508,1,0,0.4841,1.0,1.0,0.0,1.0,Non-Buzzer
yani09842577669,yani09842577669,yani09842577669,0.9926310777664183,0.9902925491333008,2,2,0.7017,1.0,1.0,0.0,2.0,Buzzer
yayyahyn,yayyahyn,yayyahyn,0.0015108451480045,0.0015108451480045,1,0,0.2697,1.0,1.0,0.0,1.0,Non-Buzzer
yeojinwibu,yeojinwibu,yeojinwibu,0.1818046122789383,0.1818046122789383,1,0,0.629,1.0,0.0,0.0,1.0,Non-Buzzer
yo__di,yo__di,yo__di,0.0143279824405908,0.0143279824405908,1,0,0.6117,1.0,1.0,0.0,1.0,Non-Buzzer
yolaisabella,yolaisabella,yolaisabella,0.9921452403068542,0.9921452403068542,1,1,0.5668,1.0,0.0,0.0,1.0,Buzzer
yorha_y0,yorha_y0,yorha_y0,0.0091498754918575,0.0091498754918575,1,0,0.4947,1.0,1.0,0.0,1.0,Non-Buzzer
yoruisnightt,yoruisnightt,yoruisnightt,0.0026078061200678,0.0026078061200678,1,0,0.5232,1.0,1.0,0.0,1.0,Non-Buzzer
yossaa_,yossaa_,yossaa_,0.0009921488817781,0.0009921488817781,1,0,0.3882,1.0,0.0,0.0,1.0,Non-Buzzer
yourlulllaby,yourlulllaby,yourlulllaby,0.004534191917628,0.004534191917628,1,0,0.6113,1.0,0.0,0.0,1.0,Non-Buzzer
yourpadawann,yourpadawann,yourpadawann,0.0012903399765491,0.0012903399765491,1,0,0.0,1.0,1.0,0.0,1.0,Non-Buzzer
yourwin0na,yourwin0na,yourwin0na,0.0008138232515193,0.0008138232515193,1,0,0.3546,1.0,0.0,0.0,1.0,Non-Buzzer
