content_dup_score,lexical_similarity_score,semantic_dup_score,semantic_similarity_score,temporal_burst_score,posting_freq_per_hour,sna_out_deg,sna_in_deg
0.6626,0.017,0.9646963,0.47582042,0.6666666666666666,2,1.0,0.0
0.3555,0.0165,0.7323831,0.39609036,1.0,2,2.0,0.0
0.6419,0.0181,0.7660965,0.3978917,1.0,2,0.0,0.0
0.7368,0.0154,0.8739115,0.28139997,1.0,2,0.0,0.0
0.4796,0.0114,0.8937913,0.48572338,1.0,1,0.0,0.0
0.6679,0.0016,0.71969175,0.2533805,1.0,1,0.0,0.0
0.8165,0.0018,0.68063515,0.21158646,0.5,1,0.0,0.0
1.0,0.0156,1.0000001,0.3721,0.6666666666666666,2,1.0,0.0
0.7087,0.0036,0.822137,0.3281753,1.0,1,0.0,0.0
1.0,0.0156,1.0000001,0.3721,0.6666666666666666,2,1.0,0.0
0.2817,0.0225,0.8058332,0.4305216,1.0,1,1.0,0.0
0.5709,0.0137,0.93017316,0.47330043,1.0,1,0.0,0.0
1.0,0.0127,0.98954946,0.3280844,0.5,1,0.0,0.0
0.5045,0.0143,0.9462447,0.4642595,1.0,2,1.0,0.0
0.7017,0.0164,0.9485592,0.4118979,1.0,2,1.0,0.0
0.3069,0.013,0.61742276,0.36030123,1.0,1,1.0,0.0
1.0,0.0157,0.9137209,0.2749321,1.0,1,0.0,0.0
0.5641,0.004,0.8465426,0.3191785,1.0,1,0.0,0.0
0.3141,0.0139,0.8421556,0.45572433,1.0,1,1.0,0.0
0.3918,0.0189,0.7331184,0.2884738,1.0,1,0.0,0.0
0.714,0.0171,0.7002985,0.25692606,1.0,1,0.0,0.0
0.5888,0.0022,0.9011446,0.30895,1.0,2,0.0,0.0
0.5896,0.0155,0.9510437,0.4245659,1.0,1,0.0,0.0
0.3615,0.0121,0.81333745,0.28447947,1.0,2,0.0,0.0
0.3641,0.0127,0.7250734,0.34939626,1.0,1,0.0,0.0
0.3969,0.0058,0.7857504,0.3363957,1.0,1,0.0,0.0
0.3882,0.0031,0.7695101,0.31724083,1.0,1,0.0,0.0
0.2388,0.0245,0.7154536,0.33185056,1.0,1,1.0,0.0
0.3746,0.0181,0.75858265,0.42109054,1.0,1,0.0,0.0
0.5156,0.0112,0.7072464,0.37450543,0.5,1,1.0,0.0
0.4706,0.0124,0.87695783,0.3468687,1.0,1,0.0,0.0
0.3697,0.0153,0.71180665,0.3816626,1.0,1,1.0,0.0
0.457,0.015,0.86431193,0.2833937,0.6666666666666666,2,2.0,0.0
0.7847,0.0164,0.9485138,0.43242103,1.0,1,0.0,0.0
0.8577,0.0059,0.95869863,0.35940012,1.0,1,0.0,0.0
0.5653,0.0086,0.7517357,0.264138,1.0,1,0.0,0.0
0.6052,0.0029,0.86684763,0.41892105,1.0,1,1.0,0.0
0.5375,0.0254,0.8647488,0.4080048,0.5,2,3.0,0.0
0.4927,0.0213,0.8387089,0.37761837,0.5,2,3.0,0.0
0.8302,0.0088,0.9124925,0.32120454,1.0,1,0.0,0.0
1.0,0.0171,1.0,0.16987254,1.0,2,0.0,0.0
0.6214,0.0167,0.7050584,0.28667095,1.0,2,0.0,0.0
0.4041,0.0166,0.5995942,0.31698766,1.0,1,1.0,0.0
1.0,0.0171,1.0,0.16987254,1.0,2,0.0,0.0
0.5746,0.0155,0.9236231,0.4571276,1.0,1,0.0,0.0
0.3008,0.0085,0.74198294,0.3529369,0.5,1,1.0,0.0
0.5796,0.0233,0.7388034,0.37344366,1.0,1,0.0,0.0
0.528,0.012,0.7057065,0.35404766,1.0,1,1.0,0.0
0.5482,0.0092,0.7517357,0.2796712,1.0,1,0.0,0.0
